HourlyStep;steps;duration [s];distance [m];calories [kcal];floors [min. high three meter];hourIndex;weekDayIndex
2021-08-30 07:00:00 +0000;68;191;39.02.00;2;0;7;2
2021-08-30 08:00:00 +0000;16;564;11.03;0;0;8;2
2021-08-30 09:00:00 +0000;1874;1227;1665.01.00;94;1;9;2
2021-08-30 10:00:00 +0000;195;933;127.09.00;7;0;10;2
2021-08-30 11:00:00 +0000;252;653;156.07.00;8;0;11;2
2021-08-30 12:00:00 +0000;20;36;15.07;0;1;12;2
2021-08-30 13:00:00 +0000;4;219;03.01;0;0;13;2
2021-08-30 14:00:00 +0000;1616;1657;1079.01.00;61;5;14;2
2021-08-30 15:00:00 +0000;2166;2638;1472.07.00;83;3;15;2
2021-08-30 16:00:00 +0000;1602;1715;1121.08.00;63;0;16;2
2021-08-30 17:00:00 +0000;528;713;343.03.00;19;4;17;2
2021-08-30 18:00:00 +0000;1919;2314;1340.08.00;76;1;18;2
2021-08-30 19:00:00 +0000;2024;2239;1413.08.00;80;1;19;2
2021-08-30 20:00:00 +0000;1529;1877;1026.03.00;58;0;20;2
2021-08-30 21:00:00 +0000;791;1124;601.03.00;34;0;21;2
2021-08-30 22:00:00 +0000;1068;2122;721.08.00;40;2;22;2
2021-08-30 23:00:00 +0000;965;1483;780.01.00;44;0;23;2
2021-08-31 08:00:00 +0000;366;995;240.08.00;13;2;8;3
2021-08-31 09:00:00 +0000;1589;2144;1044.09.00;59;2;9;3
2021-08-31 10:00:00 +0000;2407;2843;1609.02.00;91;1;10;3
2021-08-31 11:00:00 +0000;1392;2227;924.03.00;52;2;11;3
2021-08-31 12:00:00 +0000;640;1311;447.05.00;25;1;12;3
2021-08-31 13:00:00 +0000;1508;1955;1055.02.00;59;0;13;3
2021-08-31 14:00:00 +0000;1372;1519;926.04.00;52;0;14;3
2021-08-31 15:00:00 +0000;219;675;142.00.00;8;0;15;3
2021-08-31 16:00:00 +0000;2501;2529;1669.08.00;94;1;16;3
2021-08-31 17:00:00 +0000;1612;2076;1067.06.00;60;0;17;3
2021-08-31 18:00:00 +0000;673;1493;460.07.00;26;0;18;3
2021-08-31 19:00:00 +0000;2012;2092;1324.06.00;75;1;19;3
2021-08-31 20:00:00 +0000;1989;2121;1365.07.00;77;7;20;3
2021-08-31 21:00:00 +0000;1378;2100;963.02.00;54;0;21;3
2021-08-31 22:00:00 +0000;1645;1820;1380.03.00;78;2;22;3
2021-08-31 23:00:00 +0000;182;478;113.01.00;6;0;23;3
2021-09-01 08:00:00 +0000;2100;1624;1480.03.00;83;0;8;4
2021-09-01 09:00:00 +0000;2381;2270;1582.04.00;89;4;9;4
2021-09-01 10:00:00 +0000;20;85;13.00;0;0;10;4
2021-09-01 11:00:00 +0000;964;1250;666.06.00;37;1;11;4
2021-09-01 12:00:00 +0000;1060;990;692.09.00;39;1;12;4
2021-09-01 13:00:00 +0000;991;1557;646.03.00;36;1;13;4
2021-09-01 14:00:00 +0000;167;760;114.06.00;6;0;14;4
2021-09-01 15:00:00 +0000;1788;2096;1219.06.00;69;6;15;4
2021-09-01 16:00:00 +0000;146;499;90.09.00;5;0;16;4
2021-09-01 17:00:00 +0000;38;190;25.09.00;1;0;17;4
2021-09-01 18:00:00 +0000;1253;1300;806.01.00;45;1;18;4
2021-09-01 19:00:00 +0000;1059;1226;701.00.00;39;0;19;4
2021-09-01 20:00:00 +0000;933;918;641.05.00;36;0;20;4
2021-09-01 21:00:00 +0000;11;522;06.00;0;0;21;4
2021-09-01 22:00:00 +0000;1069;1073;701.01.00;39;0;22;4
2021-09-01 23:00:00 +0000;3016;2193;2096.07.00;118;3;23;4
2021-09-02 00:00:00 +0000;1885;1633;1410.03.00;79;0;0;5
2021-09-02 09:00:00 +0000;407;1023;306.06.00;17;0;9;5
2021-09-02 10:00:00 +0000;1723;1333;1203.05.00;68;4;10;5
2021-09-02 11:00:00 +0000;2258;2398;1450.07.00;82;2;11;5
2021-09-02 12:00:00 +0000;2146;2140;1490.04.00;84;1;12;5
2021-09-02 13:00:00 +0000;1199;1072;862.02.00;48;1;13;5
2021-09-02 14:00:00 +0000;847;1373;615.01.00;34;0;14;5
2021-09-02 15:00:00 +0000;1044;1853;677.04.00;38;1;15;5
2021-09-02 16:00:00 +0000;1107;1430;725.05.00;41;2;16;5
2021-09-02 17:00:00 +0000;2143;2101;1434.07.00;81;0;17;5
2021-09-02 18:00:00 +0000;415;516;265.02.00;15;0;18;5
2021-09-02 19:00:00 +0000;651;853;466.05.00;26;0;19;5
2021-09-02 21:00:00 +0000;320;1067;215.05.00;12;2;21;5
2021-09-02 22:00:00 +0000;250;643;164.01.00;9;1;22;5
2021-09-02 23:00:00 +0000;108;659;66.07.00;3;0;23;5
2021-09-03 08:00:00 +0000;395;773;277.06.00;15;1;8;6
2021-09-03 09:00:00 +0000;1586;1875;1088.07.00;61;0;9;6
2021-09-03 13:00:00 +0000;208;422;133.03.00;7;0;13;6
